Square Footage,County,Agency Name
12844,Randolph,Department of Corrections
9578,Randolph,Department of Corrections
1575,Randolph,Department of Corrections
2540,Randolph,Department of Corrections
138,Randolph,Department of Corrections
1397,Randolph,Department of Corrections
2800,Randolph,Department of Corrections
3300,Randolph,Department of Corrections
3850,Randolph,Department of Corrections
300,Randolph,Department of Corrections
288,Randolph,Department of Corrections
288,Randolph,Department of Corrections
288,Randolph,Department of Corrections
288,Randolph,Department of Corrections
288,Randolph,Department of Corrections
288,Randolph,Department of Corrections
288,Randolph,Department of Corrections
277,Randolph,Department of Corrections
203,Randolph,Department of Corrections
144,Randolph,Department of Corrections
52,Randolph,Department of Corrections
25,Randolph,Department of Corrections
144,Randolph,Department of Corrections
288,Randolph,Department of Corrections
80,Randolph,Department of Corrections
24690,Randolph,Department of Corrections
19776,Randolph,Department of Corrections
2311,Randolph,Department of Corrections
2850,Randolph,Department of Corrections
1827,Randolph,Department of Corrections
2904,Randolph,Department of Corrections
720,Randolph,Department of Corrections
720,Randolph,Department of Corrections
720,Randolph,Department of Corrections
240,Randolph,Department of Corrections
164,Randolph,Department of Corrections
1200,Randolph,Department of Corrections
47942,Randolph,Department of Corrections
4156,Randolph,Department of Corrections
512,Randolph,Department of Corrections
760,Randolph,Department of Corrections
336,Randolph,Department of Corrections
144,Randolph,Department of Corrections
450,Randolph,Department of Corrections
320,Randolph,Department of Corrections
186,Randolph,Department of Corrections
43,Randolph,Department of Corrections
50,Livingston,Department of Corrections
1752,Livingston,Department of Corrections
33540,Livingston,Department of Corrections
1430,Livingston,Department of Corrections
432,Livingston,Department of Corrections
1540,Livingston,Department of Corrections
16600,Livingston,Department of Corrections
109638,Livingston,Department of Corrections
36220,Livingston,Department of Corrections
19544,Livingston,Department of Corrections
23430,Livingston,Department of Corrections
108708,Livingston,Department of Corrections
82,Livingston,Department of Corrections
80,Livingston,Department of Corrections
900,Livingston,Department of Corrections
3310,Livingston,Department of Corrections
5822,Livingston,Department of Corrections
21614,Livingston,Department of Corrections
1500,Livingston,Department of Corrections
12200,Livingston,Department of Corrections
493,Livingston,Department of Corrections
1344,Livingston,Department of Corrections
724,Livingston,Department of Corrections
10942,Livingston,Department of Corrections
50640,Livingston,Department of Corrections
27042,Livingston,Department of Corrections
2888,Livingston,Department of Corrections
11400,Livingston,Department of Corrections
363,Livingston,Department of Corrections
36572,Livingston,Department of Corrections
400,Livingston,Department of Corrections
5982,Livingston,Department of Corrections
206,Livingston,Department of Corrections
16560,Livingston,Department of Corrections
21234,Livingston,Department of Corrections
73856,Livingston,Department of Corrections
310,Livingston,Department of Corrections
432,Livingston,Department of Corrections
400,Livingston,Department of Corrections
502,Livingston,Department of Corrections
502,Livingston,Department of Corrections
3083,Livingston,Department of Corrections
3200,Livingston,Department of Corrections
3083,Livingston,Department of Corrections
3083,Livingston,Department of Corrections
432,Livingston,Department of Corrections
441,Livingston,Department of Corrections
441,Livingston,Department of Corrections
441,Livingston,Department of Corrections
441,Livingston,Department of Corrections
441,Livingston,Department of Corrections
441,Livingston,Department of Corrections
441,Livingston,Department of Corrections
676,Livingston,Department of Corrections
432,Livingston,Department of Corrections
432,Livingston,Department of Corrections
7940,Livingston,Department of Corrections
7940,Livingston,Department of Corrections
7940,Livingston,Department of Corrections
20790,Livingston,Department of Corrections
2310,Livingston,Department of Corrections
288,Livingston,Department of Corrections
288,Livingston,Department of Corrections
7940,Livingston,Department of Corrections
7940,Livingston,Department of Corrections
14957,Livingston,Department of Corrections
589,Livingston,Department of Corrections
43000,Livingston,Department of Corrections
576,Livingston,Department of Corrections
23520,Livingston,Department of Corrections
786,Livingston,Department of Corrections
7818,Livingston,Department of Corrections
925,Livingston,Department of Corrections
3545,LaSalle,Department of Corrections
200,LaSalle,Department of Corrections
7911,LaSalle,Department of Corrections
19460,LaSalle,Department of Corrections
1400,LaSalle,Department of Corrections
17049,LaSalle,Department of Corrections
350,LaSalle,Department of Corrections
21000,LaSalle,Department of Corrections
29621,LaSalle,Department of Corrections
300,LaSalle,Department of Corrections
26534,LaSalle,Department of Corrections
1466,LaSalle,Department of Corrections
200,LaSalle,Department of Corrections
273,LaSalle,Department of Corrections
13764,LaSalle,Department of Corrections
1492,LaSalle,Department of Corrections
17120,LaSalle,Department of Corrections
39700,LaSalle,Department of Corrections
14800,LaSalle,Department of Corrections
300,LaSalle,Department of Corrections
5444,LaSalle,Department of Corrections
480,LaSalle,Department of Corrections
39064,LaSalle,Department of Corrections
300,LaSalle,Department of Corrections
960,LaSalle,Department of Corrections
7152,LaSalle,Department of Corrections
3877,LaSalle,Department of Corrections
5640,LaSalle,Department of Corrections
2853,LaSalle,Department of Corrections
100,LaSalle,Department of Corrections
3456,LaSalle,Department of Corrections
11362,LaSalle,Department of Corrections
288,LaSalle,Department of Corrections
15792,LaSalle,Department of Corrections
9600,LaSalle,Department of Corrections
9600,LaSalle,Department of Corrections
660,LaSalle,Department of Corrections
8934,LaSalle,Department of Corrections
100,LaSalle,Department of Corrections
460,LaSalle,Department of Corrections
1944,LaSalle,Department of Corrections
900,LaSalle,Department of Corrections
100,LaSalle,Department of Corrections
100,LaSalle,Department of Corrections
400,LaSalle,Department of Corrections
5445,LaSalle,Department of Corrections
47915,LaSalle,Department of Corrections
1515,LaSalle,Department of Corrections
624,LaSalle,Department of Corrections
424,LaSalle,Department of Corrections
432,LaSalle,Department of Corrections
4338,LaSalle,Department of Corrections
120,LaSalle,Department of Corrections
19250,LaSalle,Department of Corrections
10160,LaSalle,Department of Corrections
10160,LaSalle,Department of Corrections
10160,LaSalle,Department of Corrections
10160,LaSalle,Department of Corrections
10160,LaSalle,Department of Corrections
10160,LaSalle,Department of Corrections
10160,LaSalle,Department of Corrections
162,LaSalle,Department of Corrections
162,LaSalle,Department of Corrections
49275,LaSalle,Department of Corrections
1300,LaSalle,Department of Corrections
96,LaSalle,Department of Corrections
80,LaSalle,Department of Corrections
80,LaSalle,Department of Corrections
150,LaSalle,Department of Corrections
48,LaSalle,Department of Corrections
7776,Fayette,Department of Corrections
7529,Fayette,Department of Corrections
5418,Fayette,Department of Corrections
1155,Fayette,Department of Corrections
5418,Fayette,Department of Corrections
1224,Fayette,Department of Corrections
10664,Fayette,Department of Corrections
12036,Fayette,Department of Corrections
10664,Fayette,Department of Corrections
9930,Fayette,Department of Corrections
704,Fayette,Department of Corrections
9250,Fayette,Department of Corrections
4106,Fayette,Department of Corrections
576,Fayette,Department of Corrections
4128,Fayette,Department of Corrections
2520,Fayette,Department of Corrections
432,Fayette,Department of Corrections
4317,Fayette,Department of Corrections
2500,Fayette,Department of Corrections
600,Fayette,Department of Corrections
10700,Fayette,Department of Corrections
201,Fayette,Department of Corrections
201,Fayette,Department of Corrections
100,Fayette,Department of Corrections
200,Fayette,Department of Corrections
616,Fayette,Department of Corrections
4191,Fayette,Department of Corrections
3486,Fayette,Department of Corrections
9088,Fayette,Department of Corrections
968,Fayette,Department of Corrections
2816,Fayette,Department of Corrections
6868,Fayette,Department of Corrections
7000,Fayette,Department of Corrections
3400,Fayette,Department of Corrections
275,Fayette,Department of Corrections
289,Fayette,Department of Corrections
540,Fayette,Department of Corrections
2990,Fayette,Department of Corrections
5360,Fayette,Department of Corrections
2585,Fayette,Department of Corrections
527,Fayette,Department of Corrections
4592,Fayette,Department of Corrections
8140,Fayette,Department of Corrections
154,Fayette,Department of Corrections
154,Fayette,Department of Corrections
154,Fayette,Department of Corrections
154,Fayette,Department of Corrections
154,Fayette,Department of Corrections
154,Fayette,Department of Corrections
154,Fayette,Department of Corrections
154,Fayette,Department of Corrections
2900,Fayette,Department of Corrections
4452,Fayette,Department of Corrections
20400,Fayette,Department of Corrections
777,Fayette,Department of Corrections
2515,Fayette,Department of Corrections
191,Fayette,Department of Corrections
3060,Fayette,Department of Corrections
575,Fayette,Department of Corrections
704,Fayette,Department of Corrections
144,Fayette,Department of Corrections
446,Fayette,Department of Corrections
4096,Fayette,Department of Corrections
10664,Fayette,Department of Corrections
11614,Fayette,Department of Corrections
10664,Fayette,Department of Corrections
9800,Fayette,Department of Corrections
10836,Fayette,Department of Corrections
4122,Fayette,Department of Corrections
5418,Fayette,Department of Corrections
5418,Fayette,Department of Corrections
6261,Fayette,Department of Corrections
3960,Fayette,Department of Corrections
882,Fayette,Department of Corrections
1914,Fayette,Department of Corrections
2496,Fayette,Department of Corrections
288,Fayette,Department of Corrections
91,Fayette,Department of Corrections
4800,Fayette,Department of Corrections
4059,Fayette,Department of Corrections
19360,Fayette,Department of Corrections
704,Fayette,Department of Corrections
1686,Fayette,Department of Corrections
100,Fayette,Department of Corrections
2160,Fayette,Department of Corrections
1216,Fayette,Department of Corrections
2352,Fayette,Department of Corrections
171,Fayette,Department of Corrections
171,Fayette,Department of Corrections
189,Fayette,Department of Corrections
189,Fayette,Department of Corrections
100,Fayette,Department of Corrections
247,Fayette,Department of Corrections
864,Fayette,Department of Corrections
1540,Fayette,Department of Corrections
1320,Fayette,Department of Corrections
3750,Fayette,Department of Corrections
2800,Fayette,Department of Corrections
5152,Fayette,Department of Corrections
2000,Fayette,Department of Corrections
3000,Fayette,Department of Corrections
31500,Johnson,Department of Corrections
21919,Johnson,Department of Corrections
21919,Johnson,Department of Corrections
20303,Johnson,Department of Corrections
14236,Johnson,Department of Corrections
9600,Johnson,Department of Corrections
31000,Johnson,Department of Corrections
74048,Johnson,Department of Corrections
18000,Johnson,Department of Corrections
9996,Johnson,Department of Corrections
16176,Johnson,Department of Corrections
14801,Johnson,Department of Corrections
20303,Johnson,Department of Corrections
20303,Johnson,Department of Corrections
20102,Johnson,Department of Corrections
20032,Johnson,Department of Corrections
89500,Johnson,Department of Corrections
4725,Johnson,Department of Corrections
50,Johnson,Department of Corrections
672,Johnson,Department of Corrections
4725,Johnson,Department of Corrections
1189,Johnson,Department of Corrections
5393,Johnson,Department of Corrections
2100,Johnson,Department of Corrections
8300,Johnson,Department of Corrections
7200,Johnson,Department of Corrections
4725,Johnson,Department of Corrections
1456,Johnson,Department of Corrections
1456,Johnson,Department of Corrections
5964,Johnson,Department of Corrections
2200,Johnson,Department of Corrections
1400,Johnson,Department of Corrections
6700,Johnson,Department of Corrections
42880,Johnson,Department of Corrections
42880,Johnson,Department of Corrections
42880,Johnson,Department of Corrections
54276,Johnson,Department of Corrections
54660,Johnson,Department of Corrections
64024,Johnson,Department of Corrections
21368,Johnson,Department of Corrections
7000,Johnson,Department of Corrections
2000,Johnson,Department of Corrections
288,Johnson,Department of Corrections
288,Johnson,Department of Corrections
288,Johnson,Department of Corrections
288,Johnson,Department of Corrections
1814,Johnson,Department of Corrections
32160,Johnson,Department of Corrections
650,Johnson,Department of Corrections
650,Johnson,Department of Corrections
225,Johnson,Department of Corrections
2400,Johnson,Department of Corrections
320,Johnson,Department of Corrections
192,Johnson,Department of Corrections
317,Johnson,Department of Corrections
4800,Johnson,Department of Corrections
1512,Johnson,Department of Corrections
1968,Johnson,Department of Corrections
252,Johnson,Department of Corrections
720,Johnson,Department of Corrections
1600,Johnson,Department of Corrections
4000,Johnson,Department of Corrections
110,Johnson,Department of Corrections
1600,Johnson,Department of Corrections
140,Johnson,Department of Corrections
60,Johnson,Department of Corrections
128,Johnson,Department of Corrections
674,Johnson,Department of Corrections
437,Johnson,Department of Corrections
690,Johnson,Department of Corrections
130,Johnson,Department of Corrections
184,Johnson,Department of Corrections
864,Johnson,Department of Corrections
805,Johnson,Department of Corrections
1760,Johnson,Department of Corrections
540,Johnson,Department of Corrections
1360,Johnson,Department of Corrections
344,Johnson,Department of Corrections
960,Johnson,Department of Corrections
384,Johnson,Department of Corrections
2460,Johnson,Department of Corrections
2240,Johnson,Department of Corrections
24228,Pope,Department of Corrections
1680,Pope,Department of Corrections
1267,Pope,Department of Corrections
7280,Pope,Department of Corrections
10258,Pope,Department of Corrections
256,Pope,Department of Corrections
3660,Pope,Department of Corrections
24000,Adams,Department of Corrections
1440,Adams,Department of Corrections
16500,Fayette,Department of Corrections
22875,Fayette,Department of Corrections
14400,Fayette,Department of Corrections
14400,Fayette,Department of Corrections
3000,Fayette,Department of Corrections
1440,Fayette,Department of Corrections
16500,Pike,Department of Corrections
22875,Pike,Department of Corrections
14400,Pike,Department of Corrections
14400,Pike,Department of Corrections
3000,Pike,Department of Corrections
5000,Pike,Department of Corrections
3615,Peoria,Department of Corrections
2064,Peoria,Department of Corrections
2064,Peoria,Department of Corrections
96,Peoria,Department of Corrections
955,Peoria,Department of Corrections
831,Peoria,Department of Corrections
831,Peoria,Department of Corrections
955,Peoria,Department of Corrections
955,Peoria,Department of Corrections
955,Peoria,Department of Corrections
955,Peoria,Department of Corrections
831,Peoria,Department of Corrections
955,Peoria,Department of Corrections
10600,Peoria,Department of Corrections
5072,Peoria,Department of Corrections
5072,Peoria,Department of Corrections
3726,Peoria,Department of Corrections
1690,Peoria,Department of Corrections
1347,Peoria,Department of Corrections
1344,Peoria,Department of Corrections
1000,Peoria,Department of Corrections
7800,Peoria,Department of Corrections
1372,Peoria,Department of Corrections
2320,Peoria,Department of Corrections
2750,Peoria,Department of Corrections
1453,Peoria,Department of Corrections
432,Peoria,Department of Corrections
3325,Peoria,Department of Corrections
913,Peoria,Department of Corrections
1537,Peoria,Department of Corrections
32,Peoria,Department of Corrections
192,Peoria,Department of Corrections
13220,Peoria,Department of Corrections
1600,Peoria,Department of Corrections
480,Peoria,Department of Corrections
2004,Peoria,Department of Corrections
4444,Kankakee,Department of Corrections
346,Kankakee,Department of Corrections
1280,Kankakee,Department of Corrections
1280,Kankakee,Department of Corrections
1225,Kankakee,Department of Corrections
5095,Kankakee,Department of Corrections
6660,Kankakee,Department of Corrections
6608,Kankakee,Department of Corrections
3162,Kankakee,Department of Corrections
128,Kankakee,Department of Corrections
9429,Kankakee,Department of Corrections
9915,Kankakee,Department of Corrections
31951,DuPage,Department of Juvenile Justice
1704,DuPage,Department of Juvenile Justice
100,DuPage,Department of Juvenile Justice
100,DuPage,Department of Juvenile Justice
1000,DuPage,Department of Juvenile Justice
1500,DuPage,Department of Juvenile Justice
4295,DuPage,Department of Juvenile Justice
9600,DuPage,Department of Juvenile Justice
4295,DuPage,Department of Juvenile Justice
4295,DuPage,Department of Juvenile Justice
1375,DuPage,Department of Juvenile Justice
1664,DuPage,Department of Juvenile Justice
1296,DuPage,Department of Juvenile Justice
1664,DuPage,Department of Juvenile Justice
2460,DuPage,Department of Juvenile Justice
15795,Will,Department of Corrections
8630,Will,Department of Corrections
19036,Will,Department of Corrections
11708,Will,Department of Corrections
782,Will,Department of Corrections
11708,Will,Department of Corrections
20000,Will,Department of Corrections
13196,Will,Department of Corrections
912,Will,Department of Corrections
13196,Will,Department of Corrections
9040,Will,Department of Corrections
28600,Will,Department of Corrections
907,Will,Department of Corrections
2400,Will,Department of Corrections
26230,Will,Department of Corrections
465,Will,Department of Corrections
11099,Will,Department of Corrections
6300,Will,Department of Corrections
11099,Will,Department of Corrections
10955,Will,Department of Corrections
96,Jersey,Department of Juvenile Justice
10804,Jersey,Department of Juvenile Justice
4747,Jersey,Department of Juvenile Justice
4500,Jersey,Department of Juvenile Justice
8135,Jersey,Department of Juvenile Justice
3300,Jersey,Department of Juvenile Justice
1020,Jersey,Department of Juvenile Justice
96,Jersey,Department of Juvenile Justice
1440,Jersey,Department of Juvenile Justice
19440,Kane,Department of Juvenile Justice
16858,Kane,Department of Juvenile Justice
9816,Kane,Department of Juvenile Justice
63436,Kane,Department of Juvenile Justice
44132,Kane,Department of Juvenile Justice
7770,Kane,Department of Juvenile Justice
10484,Kane,Department of Juvenile Justice
480,Kane,Department of Juvenile Justice
22500,Kane,Department of Juvenile Justice
17716,Kane,Department of Juvenile Justice
6400,Kane,Department of Juvenile Justice
4608,Kane,Department of Juvenile Justice
12260,Kane,Department of Juvenile Justice
13750,Kane,Department of Juvenile Justice
25386,Kane,Department of Juvenile Justice
169,Kane,Department of Juvenile Justice
300,Kane,Department of Juvenile Justice
3200,Kane,Department of Juvenile Justice
6624,Kane,Department of Juvenile Justice
6974,Kane,Department of Juvenile Justice
6662,Kane,Department of Juvenile Justice
2850,Kane,Department of Juvenile Justice
2254,Kane,Department of Juvenile Justice
288,Kane,Department of Juvenile Justice
26978,Kane,Department of Juvenile Justice
174,Kane,Department of Juvenile Justice
10200,Kane,Department of Juvenile Justice
12642,Kane,Department of Juvenile Justice
3976,Kane,Department of Juvenile Justice
1400,Kane,Department of Juvenile Justice
680,Kane,Department of Juvenile Justice
4850,Kane,Department of Juvenile Justice
150,Kane,Department of Juvenile Justice
2112,Kane,Department of Juvenile Justice
7760,Kane,Department of Juvenile Justice
900,Kane,Department of Juvenile Justice
2700,Kane,Department of Juvenile Justice
48,Kane,Department of Juvenile Justice
12900,Kane,Department of Juvenile Justice
4540,Kane,Department of Juvenile Justice
820,Kane,Department of Juvenile Justice
540,Kane,Department of Juvenile Justice
12473,Kane,Department of Juvenile Justice
6910,Kane,Department of Juvenile Justice
6910,Kane,Department of Juvenile Justice
5192,Kane,Department of Juvenile Justice
5192,Kane,Department of Juvenile Justice
5192,Kane,Department of Juvenile Justice
5192,Kane,Department of Juvenile Justice
5118,Kane,Department of Juvenile Justice
5230,Kane,Department of Juvenile Justice
5118,Kane,Department of Juvenile Justice
5118,Kane,Department of Juvenile Justice
17210,Kane,Department of Juvenile Justice
12760,Kane,Department of Juvenile Justice
630,Kane,Department of Juvenile Justice
7000,Kane,Department of Juvenile Justice
1704,DuPage,Department of Juvenile Justice
1704,DuPage,Department of Juvenile Justice
36544,Schuyler,Department of Corrections
28941,Schuyler,Department of Corrections
41125,Schuyler,Department of Corrections
41125,Schuyler,Department of Corrections
19528,Schuyler,Department of Corrections
13903,Schuyler,Department of Corrections
7277,Schuyler,Department of Corrections
260,Schuyler,Department of Corrections
613,Schuyler,Department of Corrections
613,Schuyler,Department of Corrections
31086,Randolph,Department of Corrections
76228,Randolph,Department of Corrections
1790,Randolph,Department of Corrections
29154,Randolph,Department of Corrections
968,Randolph,Department of Corrections
2790,Randolph,Department of Corrections
10333,Randolph,Department of Corrections
4469,Randolph,Department of Corrections
9600,Randolph,Department of Corrections
144,Randolph,Department of Corrections
116,Randolph,Department of Corrections
450,Randolph,Department of Corrections
308,Randolph,Department of Corrections
560,Randolph,Department of Corrections
9600,Randolph,Department of Corrections
13775,Randolph,Department of Corrections
49275,Randolph,Department of Corrections
322,Randolph,Department of Corrections
19790,Randolph,Department of Corrections
3055,Randolph,Department of Corrections
228,Randolph,Department of Corrections
101236,St. Clair,Department of Corrections
5434,St. Clair,Department of Corrections
304,St. Clair,Department of Corrections
540,St. Clair,Department of Corrections
280,St. Clair,Department of Corrections
560,St. Clair,Department of Corrections
560,St. Clair,Department of Corrections
560,St. Clair,Department of Corrections
560,St. Clair,Department of Corrections
160,St. Clair,Department of Corrections
15600,St. Clair,Department of Corrections
1350,St. Clair,Department of Corrections
576,St. Clair,Department of Corrections
8460,St. Clair,Department of Corrections
12000,St. Clair,Department of Corrections
1800,St. Clair,Department of Corrections
2000,St. Clair,Department of Corrections
17549,Logan,Department of Corrections
17549,Logan,Department of Corrections
17549,Logan,Department of Corrections
15847,Logan,Department of Corrections
15847,Logan,Department of Corrections
15847,Logan,Department of Corrections
15847,Logan,Department of Corrections
17549,Logan,Department of Corrections
17549,Logan,Department of Corrections
17549,Logan,Department of Corrections
17549,Logan,Department of Corrections
17549,Logan,Department of Corrections
16000,Logan,Department of Corrections
30971,Logan,Department of Corrections
17600,Logan,Department of Corrections
21139,Logan,Department of Corrections
12200,Logan,Department of Corrections
6600,Logan,Department of Corrections
330,Logan,Department of Corrections
5400,Logan,Department of Corrections
1771,Logan,Department of Corrections
1860,Logan,Department of Corrections
800,Logan,Department of Corrections
6060,Logan,Department of Corrections
1159,Logan,Department of Corrections
18375,Logan,Department of Corrections
19542,Logan,Department of Corrections
680,Logan,Department of Corrections
432,Logan,Department of Corrections
432,Logan,Department of Corrections
432,Logan,Department of Corrections
432,Logan,Department of Corrections
432,Logan,Department of Corrections
432,Logan,Department of Corrections
432,Logan,Department of Corrections
432,Logan,Department of Corrections
300,Logan,Department of Corrections
14400,Logan,Department of Corrections
17000,Logan,Department of Corrections
497,Logan,Department of Corrections
111,Logan,Department of Corrections
144,Logan,Department of Corrections
2450,Logan,Department of Corrections
36,Logan,Department of Corrections
36,Logan,Department of Corrections
209,Logan,Department of Corrections
375,Logan,Department of Corrections
576,Logan,Department of Corrections
576,Logan,Department of Corrections
960,Logan,Department of Corrections
44000,Logan,Department of Corrections
51596,Clinton,Department of Corrections
27040,Clinton,Department of Corrections
17620,Clinton,Department of Corrections
3450,Clinton,Department of Corrections
15590,Clinton,Department of Corrections
15250,Clinton,Department of Corrections
1490,Clinton,Department of Corrections
15335,Clinton,Department of Corrections
3640,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
6400,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
8895,Clinton,Department of Corrections
432,Clinton,Department of Corrections
432,Clinton,Department of Corrections
432,Clinton,Department of Corrections
432,Clinton,Department of Corrections
432,Clinton,Department of Corrections
432,Clinton,Department of Corrections
432,Clinton,Department of Corrections
432,Clinton,Department of Corrections
5040,Clinton,Department of Corrections
20250,Clinton,Department of Corrections
144,Clinton,Department of Corrections
5880,Clinton,Department of Corrections
1536,Clinton,Department of Corrections
144,Clinton,Department of Corrections
880,Clinton,Department of Corrections
149,Clinton,Department of Corrections
149,Clinton,Department of Corrections
896,Clinton,Department of Corrections
1280,Clinton,Department of Corrections
120,Clinton,Department of Corrections
71411,Rock Island,Department of Corrections
46000,Rock Island,Department of Corrections
46000,Rock Island,Department of Corrections
17873,Rock Island,Department of Corrections
80873,Rock Island,Department of Corrections
10493,Rock Island,Department of Corrections
80873,Rock Island,Department of Corrections
15782,Rock Island,Department of Corrections
1873,Rock Island,Department of Corrections
3562,Rock Island,Department of Corrections
12141,Rock Island,Department of Corrections
450,Rock Island,Department of Corrections
714,Rock Island,Department of Corrections
21630,Rock Island,Department of Corrections
143,Rock Island,Department of Corrections
1518,Rock Island,Department of Corrections
18410,Rock Island,Department of Corrections
52455,Rock Island,Department of Corrections
26261,Rock Island,Department of Corrections
51764,Rock Island,Department of Corrections
23000,Rock Island,Department of Corrections
300,Rock Island,Department of Corrections
100,Rock Island,Department of Corrections
576,Rock Island,Department of Corrections
64,Rock Island,Department of Corrections
1500,Rock Island,Department of Corrections
1440,Rock Island,Department of Corrections
1490,Montgomery,Department of Corrections
15335,Montgomery,Department of Corrections
51596,Montgomery,Department of Corrections
27040,Montgomery,Department of Corrections
17620,Montgomery,Department of Corrections
3450,Montgomery,Department of Corrections
15590,Montgomery,Department of Corrections
15250,Montgomery,Department of Corrections
3640,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
6400,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
8895,Montgomery,Department of Corrections
20250,Montgomery,Department of Corrections
265,Montgomery,Department of Corrections
183,Montgomery,Department of Corrections
1667,Montgomery,Department of Corrections
800,Montgomery,Department of Corrections
144,Montgomery,Department of Corrections
432,Montgomery,Department of Corrections
432,Montgomery,Department of Corrections
432,Montgomery,Department of Corrections
432,Montgomery,Department of Corrections
432,Montgomery,Department of Corrections
432,Montgomery,Department of Corrections
120,Montgomery,Department of Corrections
5040,Montgomery,Department of Corrections
3010,Montgomery,Department of Corrections
650,Montgomery,Department of Corrections
3010,Montgomery,Department of Corrections
630,Montgomery,Department of Corrections
265,Montgomery,Department of Corrections
1600,Montgomery,Department of Corrections
44000,Montgomery,Department of Corrections
2530,Montgomery,Department of Corrections
1242,Montgomery,Department of Corrections
12309,Christian,Department of Corrections
25962,Christian,Department of Corrections
9456,Christian,Department of Corrections
13266,Christian,Department of Corrections
13266,Christian,Department of Corrections
13266,Christian,Department of Corrections
13266,Christian,Department of Corrections
13266,Christian,Department of Corrections
13266,Christian,Department of Corrections
21922,Christian,Department of Corrections
9211,Christian,Department of Corrections
14661,Christian,Department of Corrections
12978,Christian,Department of Corrections
12417,Christian,Department of Corrections
273,Christian,Department of Corrections
164,Christian,Department of Corrections
164,Christian,Department of Corrections
164,Christian,Department of Corrections
164,Christian,Department of Corrections
164,Christian,Department of Corrections
150,Christian,Department of Corrections
214,Christian,Department of Corrections
560,Christian,Department of Corrections
1184,Christian,Department of Corrections
128,Christian,Department of Corrections
60,Christian,Department of Corrections
1440,Christian,Department of Corrections
1000,Christian,Department of Corrections
48690,Vermilion,Department of Corrections
48690,Vermilion,Department of Corrections
48690,Vermilion,Department of Corrections
52945,Vermilion,Department of Corrections
54683,Vermilion,Department of Corrections
63250,Vermilion,Department of Corrections
240,Vermilion,Department of Corrections
7216,Vermilion,Department of Corrections
1600,Vermilion,Department of Corrections
288,Vermilion,Department of Corrections
288,Vermilion,Department of Corrections
288,Vermilion,Department of Corrections
288,Vermilion,Department of Corrections
288,Vermilion,Department of Corrections
18700,Vermilion,Department of Corrections
37530,Vermilion,Department of Corrections
17568,Vermilion,Department of Corrections
3060,Vermilion,Department of Corrections
353,Vermilion,Department of Corrections
353,Vermilion,Department of Corrections
353,Vermilion,Department of Corrections
353,Vermilion,Department of Corrections
50,Vermilion,Department of Corrections
180,Vermilion,Department of Corrections
1440,Vermilion,Department of Corrections
405,Vermilion,Department of Corrections
240,Vermilion,Department of Corrections
350,Vermilion,Department of Corrections
43300,Brown,Department of Corrections
43300,Brown,Department of Corrections
43300,Brown,Department of Corrections
52818,Brown,Department of Corrections
50000,Brown,Department of Corrections
95044,Brown,Department of Corrections
20924,Brown,Department of Corrections
5200,Brown,Department of Corrections
2000,Brown,Department of Corrections
144,Brown,Department of Corrections
144,Brown,Department of Corrections
400,Brown,Department of Corrections
144,Brown,Department of Corrections
144,Brown,Department of Corrections
1836,Brown,Department of Corrections
144,Brown,Department of Corrections
2800,Brown,Department of Corrections
462,Brown,Department of Corrections
160,Brown,Department of Corrections
300,Brown,Department of Corrections
2800,Brown,Department of Corrections
1300,Brown,Department of Corrections
160,Brown,Department of Corrections
49275,Brown,Department of Corrections
455,Brown,Department of Corrections
25130,Hardin,Department of Corrections
13700,Hardin,Department of Corrections
7000,Hardin,Department of Corrections
777,Hardin,Department of Corrections
1160,Hardin,Department of Corrections
120,Hardin,Department of Corrections
63,Hardin,Department of Corrections
1200,Hardin,Department of Corrections
13689,Greene,Department of Corrections
15089,Greene,Department of Corrections
13266,Greene,Department of Corrections
1152,Greene,Department of Corrections
46465,Fulton,Department of Corrections
46465,Fulton,Department of Corrections
46465,Fulton,Department of Corrections
55500,Fulton,Department of Corrections
56196,Fulton,Department of Corrections
65450,Fulton,Department of Corrections
18625,Fulton,Department of Corrections
6747,Fulton,Department of Corrections
1889,Fulton,Department of Corrections
144,Fulton,Department of Corrections
144,Fulton,Department of Corrections
144,Fulton,Department of Corrections
144,Fulton,Department of Corrections
144,Fulton,Department of Corrections
1836,Fulton,Department of Corrections
17666,Fulton,Department of Corrections
60,Fulton,Department of Corrections
